year,vwretd,vwretx,vwRetd,vwRetx,rf,AAA,BAA,tbl,lty,Rf,DP,DG
1926,0.098479,0.043033999999999996,1.098479,1.043034,0.0351,0.0468,0.0568,0.030699999999999998,0.0354,1.0351,0.05315742343969609,
1927,0.328716,0.266477,1.328716,1.266477,0.030699999999999998,0.0446,0.0532,0.0317,0.0316,1.0307,0.049143411210783874,1.1708430539453507
1928,0.391397,0.337056,1.391397,1.337056,0.0317,0.0461,0.056,0.0426,0.034,1.0317,0.04064227676327691,1.105763695705266
1929,-0.150955,-0.182395,0.849045,0.817605,0.0426,0.0467,0.0595,0.030299999999999997,0.034,1.0426,0.038453776579155,0.7735787092618842
1930,-0.289005,-0.321455,0.710995,0.678545,0.030299999999999997,0.0452,0.0671,0.0148,0.033,1.0303,0.04782291520827667,0.8438703005725208
1931,-0.44387299999999996,-0.476969,0.556127,0.523031,0.0148,0.0532,0.1042,0.0241,0.0407,1.0148,0.06327732008236608,0.6920531685670245
1932,-0.079449,-0.14066800000000002,0.920551,0.859332,0.0241,0.0459,0.0842,0.0004,0.0315,1.0241,0.07124021914696535,0.9674714403251148
1933,0.5741310000000001,0.509127,1.574131,1.5091269999999999,0.0004,0.045,0.0775,0.0029,0.0336,1.0004,0.043073909617944724,0.9124621004590083
1934,0.031843,-0.009584,1.031843,0.990416,0.0029,0.0381,0.0623,0.0023,0.0293,1.0029,0.0418278783864559,0.9617654948772397
1935,0.454487,0.395966,1.4544869999999999,1.395966,0.0023,0.0344,0.053,0.0015,0.0276,1.0023,0.041921508116959744,1.3990908039684187
1936,0.323153,0.26681900000000003,1.323153,1.266819,0.0015,0.031,0.0453,0.0012,0.0255,1.0015,0.044468862560476365,1.3437970753063069
1937,-0.346044,-0.380994,0.653956,0.619006,0.0012,0.0321,0.0573,0.0011,0.0273,1.0012,0.0564614882569798,0.7859431968260724
1938,0.28435900000000003,0.23026,1.284359,1.23026,0.0011,0.0308,0.0527,0.0003,0.0252,1.0011,0.04397363159007049,0.9581575277253229
1939,0.018435,-0.028977999999999997,1.018435,0.971022,0.0003,0.0294,0.0492,0.0004,0.0226,1.0003,0.04882793592730126,1.0782143363093546
1940,-0.07510399999999999,-0.12750799999999998,0.924896,0.872492,0.0004,0.0271,0.0445,0.0002,0.0194,1.0004,0.06006244183327756,1.073238075801997
1941,-0.100387,-0.161102,0.899613,0.838898,0.0002,0.028,0.0438,0.0033,0.0204,1.0002,0.07237471063228183,1.0108646626211732
1942,0.167218,0.090504,1.167218,1.090504,0.0033,0.0281,0.0428,0.0038,0.0246,1.0033,0.0703472889599673,1.0599558786461367
1943,0.27968699999999996,0.21598,1.279687,1.21598,0.0038,0.0274,0.0382,0.0038,0.0248,1.0038,0.05239148670208388,0.9056070381938082
1944,0.21364,0.154754,1.21364,1.154754,0.0038,0.027,0.0349,0.0038,0.0246,1.0038,0.05099441093081296,1.123961233145495
1945,0.39059299999999997,0.335428,1.390593,1.335428,0.0038,0.0261,0.031,0.0038,0.0199,1.0038,0.041308853790694745,1.081785219067349
1946,-0.064212,-0.10165199999999999,0.935788,0.898348,0.0038,0.0261,0.0317,0.0038,0.0212,1.0038,0.04167649953024876,0.906343230671621
1947,0.032933,-0.02283,1.032933,0.97717,0.0038,0.0286,0.0352,0.0095,0.0243,1.0038,0.05706581249936052,1.3379962479700913
1948,0.021313,-0.040737999999999996,1.021313,0.9592620000000001,0.0095,0.0279,0.0353,0.0116,0.0237,1.0095,0.06468618583869667,1.0873585651776219
1949,0.201096,0.121244,1.201096,1.121244,0.0116,0.0258,0.0331,0.011000000000000001,0.0209,1.0116,0.07121732646952852,1.2344521316981227
1950,0.30473,0.217426,1.30473,1.2174260000000001,0.011000000000000001,0.0267,0.032,0.0134,0.0224,1.011,0.07171195620924789,1.2258814578971065
1951,0.209441,0.142646,1.209441,1.142646,0.0134,0.0301,0.0361,0.0173,0.0269,1.0134,0.058456424824486264,0.9314346383899946
1952,0.133324,0.074015,1.133324,1.074015,0.0173,0.0297,0.0351,0.0209,0.0279,1.0173,0.055221761334804505,1.0145847984729415
1953,0.003843,-0.050273000000000005,1.003843,0.949727,0.0209,0.0313,0.0374,0.016,0.0274,1.0209,0.05698058494704273,0.9799759857694448
1954,0.50412,0.43363599999999997,1.50412,1.433636,0.016,0.029,0.0345,0.0115,0.0272,1.016,0.04916450200748307,1.236982738339861
1955,0.254135,0.20404,1.254135,1.20404,0.0115,0.0315,0.0362,0.0254,0.0295,1.0115,0.041605760605959934,1.0189262161625334
1956,0.08581699999999999,0.043745,1.085817,1.043745,0.0254,0.0375,0.0437,0.0321,0.0345,1.0254,0.04030869608956222,1.0112061259606773
1957,-0.10348399999999999,-0.14068699999999998,0.896516,0.859313,0.0321,0.0381,0.0503,0.0304,0.0323,1.0321,0.04329388709352702,0.922952206574441
1958,0.447759,0.392664,1.447759,1.392664,0.0304,0.0408,0.0485,0.0277,0.0382,1.0304,0.039560870389412035,1.272581505120558
1959,0.126462,0.090692,1.126462,1.090692,0.0277,0.0458,0.0528,0.0449,0.0447,1.0277,0.03279569300957565,0.904176264270805
1960,0.012089,-0.021911,1.012089,0.978089,0.0449,0.0435,0.051,0.0225,0.038,1.0449,0.0347616627934677,1.0367214984623971
1961,0.26960500000000004,0.23313699999999998,1.269605,1.233137,0.0225,0.0442,0.051,0.026000000000000002,0.0415,1.0225,0.029573356407276864,1.0490867544705922
1962,-0.103121,-0.132912,0.896879,0.867088,0.026000000000000002,0.0424,0.0492,0.0287,0.0395,1.026,0.03435752772498295,1.0073594484753714
1963,0.20887600000000003,0.170997,1.208876,1.170997,0.0287,0.0435,0.0485,0.0352,0.0417,1.0287,0.03234764905460902,1.1024949263871633
1964,0.16303800000000002,0.12849100000000002,1.163038,1.128491,0.0352,0.0444,0.0481,0.0384,0.0423,1.0352,0.030613447515310366,1.0679910599276679
1965,0.143859,0.10993900000000001,1.143859,1.109939,0.0384,0.0468,0.0502,0.0438,0.045,1.0384,0.030560237995060944,1.108009804613999
1966,-0.08688799999999999,-0.116818,0.913112,0.883182,0.0438,0.0539,0.0618,0.0496,0.0455,1.0438,0.03388882472695323,0.979377189563681
1967,0.285666,0.247259,1.285666,1.2472590000000001,0.0496,0.0619,0.0693,0.049699999999999994,0.0556,1.0496,0.030793123160466153,1.1333234572001292
1968,0.141689,0.10920899999999999,1.141689,1.109209,0.049699999999999994,0.0645,0.0723,0.0596,0.0598,1.0497,0.029282128075051744,1.0547809597208904
1969,-0.10836199999999999,-0.13510999999999998,0.891638,0.86489,0.0596,0.0772,0.0865,0.0782,0.0687,1.0596,0.03092647619928545,0.9134581998768452
1970,0.000731,-0.034063,1.000731,0.965937,0.0782,0.0764,0.0912,0.0487,0.0648,1.0782,0.03602098273489885,1.1250554306864065
1971,0.16198900000000002,0.128146,1.161989,1.128146,0.0487,0.0725,0.0838,0.0401,0.0597,1.0487,0.029998776754072472,0.9395357214174818
1972,0.173406,0.14256,1.173406,1.14256,0.0401,0.0708,0.0793,0.0507,0.0599,1.0401,0.026997269290015342,1.0282419264249647
1973,-0.18748900000000002,-0.21178000000000002,0.812511,0.7882199999999999,0.0507,0.0768,0.0848,0.0745,0.0726,1.0507,0.030817538250742262,0.899757665823774
1974,-0.279412,-0.310612,0.720588,0.689388,0.0745,0.0889,0.1063,0.07150000000000001,0.076,1.0745,0.04525753276819441,1.0124105224157072
1975,0.373578,0.318178,1.373578,1.318178,0.07150000000000001,0.0879,0.1056,0.054400000000000004,0.0805,1.0715,0.042027707942326374,1.2241056153846128
1976,0.267802,0.219255,1.267802,1.219255,0.054400000000000004,0.0798,0.0912,0.0435,0.0721,1.0544,0.03981693739209609,1.1551189055234707
1977,-0.029697,-0.072922,0.970303,0.927078,0.0435,0.0819,0.0899,0.060700000000000004,0.0803,1.0435,0.04662498732576986,1.085593288462726
1978,0.085462,0.032911,1.085462,1.032911,0.060700000000000004,0.0916,0.0994,0.0908,0.0898,1.0607,0.05087660021047314,1.1270995020936942
1979,0.24414299999999997,0.182911,1.244143,1.182911,0.0908,0.1074,0.1206,0.1204,0.1012,1.0908,0.051763826695330376,1.203539539723315
1980,0.332396,0.271273,1.3323960000000001,1.2712729999999999,0.1204,0.1321,0.1514,0.1549,0.1199,1.1204,0.048080152728800396,1.180805282417696
1981,-0.039868,-0.083569,0.960132,0.916431,0.1549,0.1423,0.1655,0.1085,0.1334,1.1549,0.04768607783892076,0.9089197417175162
1982,0.204217,0.142451,1.204217,1.1424509999999999,0.1085,0.1183,0.1414,0.0794,0.1095,1.1085,0.05406446315859517,1.295262743323956
1983,0.22643899999999997,0.178813,1.226439,1.1788129999999999,0.0794,0.1257,0.1375,0.09,0.1197,1.0794,0.040401658278285166,0.8809113642780818
1984,0.031649000000000004,-0.01146,1.031649,0.98854,0.09,0.1213,0.134,0.0806,0.117,1.09,0.04360875634774523,1.0670106584008712
1985,0.31411300000000003,0.26461399999999996,1.314113,1.264614,0.0806,0.1016,0.1158,0.071,0.0956,1.0806,0.039141587867918735,1.1350702048296204
1986,0.155616,0.11788,1.155616,1.11788,0.071,0.0849,0.0997,0.0553,0.0789,1.071,0.03375675385551221,0.9640896564375
1987,0.018309,-0.013574000000000001,1.018309,0.986426,0.0553,0.1011,0.1129,0.057699999999999994,0.092,1.0553,0.03232173523406711,0.9444924750900964
1988,0.175565,0.129842,1.175565,1.129842,0.057699999999999994,0.0957,0.1065,0.08070000000000001,0.0918,1.0577,0.04046849028448222,1.4146208323558047
1989,0.28431300000000004,0.24025900000000003,1.284313,1.240259,0.08070000000000001,0.0886,0.0982,0.07629999999999999,0.0816,1.0807,0.03552000025801066,1.088600036480548
1990,-0.060845,-0.093885,0.939155,0.906115,0.07629999999999999,0.0905,0.1043,0.0674,0.0844,1.0763,0.03646336281818528,0.9301801734235238
1991,0.336457,0.296356,1.336457,1.296356,0.0674,0.0831,0.0926,0.0407,0.073,1.0674,0.030933632428129264,1.0997614290254236
1992,0.090664,0.061186000000000004,1.090664,1.061186,0.0407,0.0798,0.0881,0.0322,0.0726,1.0407,0.027778353653365305,0.9529433721852374
1993,0.115897,0.087994,1.115897,1.087994,0.0322,0.0693,0.0769,0.030600000000000002,0.0654,1.0322,0.025646281137579816,1.0044871754528766
1994,-0.00758,-0.032841,0.99242,0.967159,0.030600000000000002,0.0846,0.091,0.055999999999999994,0.0799,1.0306,0.026118766407591698,0.984977114790523
1995,0.356824,0.325181,1.356824,1.325181,0.055999999999999994,0.0682,0.0749,0.051399999999999994,0.0603,1.056,0.02387824757523696,1.21150438371403
1996,0.21176399999999998,0.187666,1.211764,1.187666,0.051399999999999994,0.072,0.0789,0.049100000000000005,0.0673,1.0514,0.020290216272925175,1.0092030382074977
1997,0.30352399999999996,0.281866,1.303524,1.281866,0.049100000000000005,0.0676,0.0732,0.0516,0.0602,1.0491,0.01689568176392849,1.067410997925139
1998,0.222598,0.205019,1.222598,1.205019,0.0516,0.0622,0.0723,0.043899999999999995,0.0542,1.0516,0.014588151722089038,1.0404433656847383
1999,0.252686,0.23649299999999998,1.252686,1.236493,0.043899999999999995,0.0755,0.0819,0.052000000000000005,0.0682,1.0439,0.013095909155975732,1.110010391205408
2000,-0.11161199999999999,-0.121423,0.888388,0.8785769999999999,0.052000000000000005,0.0721,0.0802,0.057699999999999994,0.0558,1.052,0.01116692105529739,0.7491652456617114
2001,-0.11268099999999999,-0.124471,0.887319,0.875529,0.057699999999999994,0.0677,0.0805,0.0169,0.0575,1.0577,0.013466144468087256,1.0557968433391045
2002,-0.20838600000000002,-0.22106599999999998,0.791614,0.778934,0.0169,0.0621,0.0745,0.011899999999999999,0.0484,1.0169,0.01627865775534259,0.9416206717557297
2003,0.331311,0.307751,1.331311,1.307751,0.011899999999999999,0.0562,0.066,0.009000000000000001,0.051500000000000004,1.0119,0.018015662002934658,1.4472937728706476
2004,0.129976,0.108473,1.129976,1.108473,0.009000000000000001,0.0547,0.0615,0.0219,0.0484,1.009,0.019398758472240686,1.1935725701613031
2005,0.07306900000000001,0.0538,1.073069,1.0538,0.0219,0.0537,0.0632,0.038900000000000004,0.0461,1.0219,0.018285253368760655,0.9933109908849895
2006,0.16214800000000001,0.140519,1.162148,1.140519,0.038900000000000004,0.0532,0.0622,0.048499999999999995,0.0491,1.0389,0.018964173328107552,1.1828657532824702
2007,0.07282899999999999,0.052788,1.072829,1.052788,0.048499999999999995,0.0549,0.0665,0.03,0.045,1.0485,0.019036121232384844,1.0567821572425946
2008,-0.38304299999999997,-0.39734400000000003,0.616957,0.602656,0.03,0.0505,0.0843,0.0003,0.0303,1.03,0.023729955397440678,0.7512559846315068
2009,0.316155,0.28397100000000003,1.316155,1.283971,0.0003,0.0526,0.0637,0.0005,0.0458,1.0003,0.02506598669284586,1.3562604505978593
2010,0.178922,0.154068,1.178922,1.154068,0.0005,0.0502,0.061,0.0014000000000000002,0.0413782,1.0005,0.021535992679807367,0.99154285464827
2011,-0.008992,-0.02938,0.991008,0.97062,0.0014000000000000002,0.0393,0.0525,0.0001,0.0248,1.0014,0.021005130741175704,0.9466942296612224
2012,0.159796,0.131174,1.159796,1.1311740000000001,0.0001,0.0365,0.0463,0.0007000000000000001,0.0241,1.0001,0.025302915378182245,1.3626194643908172
2013,0.316749,0.288799,1.316749,1.288799,0.0007000000000000001,0.0462,0.0538,0.0007000000000000001,0.0367,1.0007,0.021686857298927078,1.1046157955418907
2014,0.10836300000000001,0.08568300000000001,1.108363,1.085683,0.0007000000000000001,0.0379,0.0474,0.0003,0.024,1.0007,0.020890075648232528,1.045794680500899
2015,-0.015995,-0.037069,0.984005,0.962931,0.0003,0.0397,0.0546,0.0023,0.0243,1.0003,0.021885264883984457,1.0088043889770726
2016,0.129461,0.10425,1.129461,1.10425,0.0023,0.0406,0.0483,0.0051,0.0272,1.0023,0.02283088068825003,1.151962296716335
2017,0.20902800000000002,0.184488,1.209028,1.184488,0.0051,0.0351,0.042199999999999994,0.0132,0.0254,1.0051,0.02071781225305787,1.0748599817539926
2018,-0.061827999999999994,-0.08114500000000001,0.938172,0.918855,0.0132,0.04019999999999999,0.0513,0.023700000000000002,0.0284,1.0132,0.021022903504905592,0.9323860919315414
2019,0.297513,0.271214,1.297513,1.271214,0.023700000000000002,0.0301,0.0388,0.0154,0.018600000000000002,1.0237,0.020688098148698684,1.2509689726665543
