date,dc,rmrf,smb,hml,rwm,cwa,rf
1965,1.041604,0.127407,0.058738,0.04977,-0.017249,0.03182,1.035464
1966,1.056917,0.055934,0.275981,0.09923,-0.047296,-0.041547,1.040741
1967,1.024699,-0.048238,0.051729,-0.047978,0.052866,-0.034082,1.04813
1968,1.030531,0.048977,0.294648,0.012434,-0.013847,0.008362,1.041986
1969,1.037062,0.09598,0.176491,0.121798,-0.049007,0.051984,1.054306
1970,1.028929,-0.140964,-0.105571,-0.072385,0.087555,-0.004515,1.068138
1971,1.013517,0.034716,-0.031792,0.158064,0.002388,0.175839,1.059774
1972,1.029275,0.108212,0.036022,-0.102654,0.105035,-0.046233,1.042089
1973,1.055541,-0.017673,-0.224744,0.076205,0.066514,-0.011058,1.04157
1974,1.002967,-0.198318,-0.080715,0.313951,-0.169841,0.167717,1.07314
1975,1.001521,-0.207964,0.009133,0.056549,-0.006954,0.210783,1.077946
1976,1.035846,0.238484,0.187738,0.2014,-0.050102,0.102009,1.05588
1977,1.032027,0.011939,0.091353,0.106671,-0.016775,0.017949,1.049801
1978,1.029306,-0.096987,0.262469,0.068958,0.01138,0.005868,1.053781
1979,1.027052,0.10171,0.132601,-0.019557,0.030252,0.035641,1.077841
1980,1.011293,0.176563,0.152805,-0.025649,-0.000864,0.016986,1.105916
1981,1.001313,0.11101,0.084114,-0.163121,0.102777,-0.083994,1.117226
1982,1.004639,-0.224757,0.044221,0.305843,-0.035903,0.11339,1.142751
1983,1.027076,0.305794,0.148045,-0.00078,-0.008561,0.09061,1.100857
1984,1.037949,-0.010725,0.018192,0.319105,0.023836,0.194267,1.089687
1985,1.040206,0.11543,-0.025499,0.019938,0.179919,-0.036975,1.095755
1986,1.031204,0.231003,-0.048542,0.055313,0.085461,-0.041905,1.075705
1987,1.025024,0.203705,-0.083955,-0.012711,0.074614,0.086588,1.059038
1988,1.029679,-0.109645,-0.08766,0.092802,0.077862,0.130853,1.053674
1989,1.030675,0.05698,0.03158,0.110817,0.006239,0.086228,1.067925
1990,1.018989,0.074709,-0.117203,-0.038446,0.029933,0.052567,1.083535
1991,1.000707,0.050974,-0.081029,-0.158279,0.127948,-0.062335,1.07688
1992,1.019143,0.151197,0.160723,0.019058,0.066723,-0.022432,1.051997
1993,1.019503,0.068155,-0.038821,0.25059,0.052617,0.079928,1.033297
1994,1.021264,0.07325,0.105263,0.018873,-0.0352,0.041018,1.02908
1995,1.016431,0.01113,-0.088194,0.029754,0.065266,0.023678,1.042712
1996,1.021533,0.288027,-0.03715,0.001432,0.006733,0.038125,1.055986
1997,1.022015,0.169441,-0.06392,0.116557,0.161167,0.024858,1.052209
1998,1.033153,0.29382,-0.027716,0.084873,0.064547,-0.03199,1.052313
1999,1.037405,0.103042,-0.265392,-0.105704,-0.026926,-0.054318,1.047294
2000,1.039102,0.184597,0.419065,-0.321774,-0.381477,-0.025787,1.048339
2001,1.02967,-0.21964,-0.104749,0.783231,0.630746,0.39896,1.059671
2002,1.010613,-0.11753,0.178799,0.153208,0.260391,0.151684,1.031542
2003,1.020934,-0.233128,0.05376,0.026533,0.102463,0.114036,1.015509
2004,1.028494,0.417236,0.214287,0.089017,-0.163584,0.148961,1.009642
2005,1.0276,0.058928,0.037281,0.074036,0.127241,-0.09748,1.013786
2006,1.029885,0.07002,0.066547,0.057527,-0.043146,-0.019474,1.033605
2007,1.02065,0.068998,-0.020062,0.093466,0.048448,0.053067,1.049488
2008,1.006517,-0.081412,-0.10221,-0.130985,0.082332,-0.061135,1.04167
2009,0.988553,-0.438835,0.040148,-0.178171,0.234101,0.020664,1.012569
2010,0.999129,0.551699,0.130625,0.193365,-0.013049,0.025369,1.0008
2011,1.017015,0.239846,0.098016,-0.054356,-0.027924,0.089942,1.001201
2012,1.008403,0.043797,-0.035127,-0.10353,0.136133,-0.039053,1.0002
2013,1.004031,0.133346,-0.002614,0.105011,-0.051334,0.117512,1.0006
2014,1.012465,0.279024,0.064025,-0.013314,-0.047856,-0.027038,1
2015,1.03343,0.135446,-0.082659,-0.04771,0.057645,-0.033587,1
2016,1.022386,-0.083745,-0.07644,-0.03574,0.061738,-0.005608,1.0004
2017,1.021351,0.270729,0.075077,0.13303,-0.029826,0.005342,1.002603
2018,1.018739,0.170734,-0.044286,-0.090167,0.042834,-0.100984,1.009339
2019,1.019899,0.027415,0.024852,-0.11254,-0.024883,0.002086,1.019777